# probe    2026-09-11
# target   jvm
# kotlin   2.4.10; kotlinx-serialization-json 1.11.0; kotlinx-datetime 0.8.0
# host	Mac OS X aarch64
# runtime	JVM 17.0.20.1+1 (Eclipse Adoptium)
serialization	missing-field-message	!MissingFieldException: Field 'y' is required for type with serial name 'parity.Point', but it was missing at path: $
serialization	nan-allowed	NaN
serialization	nan-default-config	!JsonEncodingException: Unexpected special floating-point value NaN. By default, non-finite floating point values are prohibited because they do not conform JSON specification.\nIt is possible to deserialize them using 'JsonBuilder.allowSpecialFloatingPointValues = true'
serialization	numbers-record	{"d":0.30000000000000004,"f":0.33333334,"l":9223372036854775807}
serialization	object-field-order	{"x":1,"y":"x"}
serialization	type-mismatch-message	!JsonDecodingException: Unexpected JSON token at offset 6: Unexpected symbol 'n' in numeric literal at path: $.x\nJSON input: {"x":"no","y":"a"}
serialization	unknown-key-message	!JsonDecodingException: Unexpected JSON token at offset 16: Encountered an unknown key 'z' at path: $\nUse 'ignoreUnknownKeys = true' in 'Json {}' builder or '@JsonIgnoreUnknownKeys' annotation to ignore unknown keys.\nJSON input: {"x":1,"y":"a","z":2}
string	codepoint-count-via-chars	3
string	compare-accent	111
string	compare-case	31
string	isdigit-arabic-indic	true
string	isletter-roman-numeral	false
string	iswhitespace-nbsp	true
string	lines-crlf	4
string	lowercase-dotted-I	i̇
string	replacefirstchar-titlecase	ǅx
string	sorted-mixed	10,2,A,_,b,é
string	split-empty-delimiter-count	5
string	surrogate-length	2
string	surrogate-uppercase	true
string	trim-ideographic-space	1
string	trim-nbsp	1
string	uppercase-digraph	Ǆ
string	uppercase-dotless	I
string	uppercase-ligature-fi	FILE
string	uppercase-sharp-s	STRASSE
